id,級,full_phrase,correct,wrong,display,read,explanation,https://yoji.jitenon.jp/,,,漢検2級四字熟語
1,3,怒髪衝天,怒髪,土発,ドハツ衝天,ドハツ-ショウテン,激しく怒ること。または、その表情。,,,,
2,2,抑揚頓挫,頓挫,屯座,抑揚トンザ,ヨクヨウ-トンザ,文や声の調子を上げ下げして変えたり、勢いを変えたりすること。または、勢いが急になくなること。,,,,
3,2,錦上添花,添花,天下,錦上テンカ,キンジョウ-テンカ,よい出来事が重なることのたとえ。または、美しいものに美しいものを重ねることのたとえ。,,,,
4,4,新進気鋭,気鋭,機影,新進キエイ,シンシン-キエイ,新たに現れた、鋭い意気込みがある将来有望な人のこと。,,,,
5,4,小心翼々,翼々,翌々,小心ヨクヨク,ショウシン-ヨクヨク,小心者でいつもびくびくしている様子。,,,,
6,準2,不偏不党,不偏,不変,フヘン不党,フヘン-フトウ,主義や思想にこだわることなく、また特定の党に所属することなく、公平で中立の立場をとること。,,,,
7,5,金科玉条,金科,金貨,キンカ玉条,キンカ-ギョクジョウ,黄金や宝石に例えられるほど立派な法律や規則。転じて、自分を支える絶対的な教訓や信条、または人が最も重視すべき法律や規則のこと。,,,,
8,準2,安寧秩序,安寧,案寧,アンネイ秩序,アンネイ-チツジョ,国や社会が乱れることなく治まっていて、平和を保つための決まりがしっかりと守られていること。,,,,
9,4,妙計奇策,妙計,明慶,ミョウケイ奇策,ミョウケイ-キサク,他の人の思いつかないような奇抜ですぐれた計略。,,,,
10,準2,巧遅拙速,拙速,節足,巧遅セッソク,コウチ-セッソク,遅くて上手いよりも、下手でも速いほうがよいということ。,,,,
11,3,鼓舞激励,激励,劇例,鼓舞ゲキレイ,コブ-ゲキレイ,人を励まして奮い立たせること。,,,,
12,準2,精進潔斎,潔斎,決裁,精進ケッサイ,ショウジン-ケッサイ,肉類を食べず、酒を飲まずに心と体を清めること。,,,,
13,準2,百八煩悩,煩悩,凡能,百八ボンノウ,ヒャクハチ-ボンノウ,人間の持つ苦しみを生み出す全ての迷いのこと。,,,,
14,準2,合従連衡,連衡,練功,合従レンコウ,ガッショウ-レンコウ,"	その時の利益と損害などの状況に合わせて、国や組織などが手を組んだり、離れたりすること。",,,,
15,3,温厚篤実,篤実,特実,温厚トクジツ,オンコウ-トクジツ,心が温かく穏やかで、誠実な性格のこと。,,,,
16,3,鶏口牛後,鶏口,蛍光,ケイコウ牛後,ケイコウ-ギュウゴ,大きな組織に入って上の人に付き従い言いなりになるより、小さな組織だとしても上に立つほうがよいということ。,,,,
17,準2,隠忍自重,隠忍,陰人,インニン自重,インニン-ジチョウ,怒りや苦しみなどをぐっとこらえて、軽はずみな行動をしないこと。または、そうすべきであるという戒めの言葉。,,,,
18,4,万緑一紅,万緑,晩力,バンリョク一紅,バンリョク-イッコウ,たくさんのものの中に、一つだけすぐれたものがあることのたとえ。または、大勢の男の中に一人だけ女がいること。,,,,
19,準2,閑話休題,閑話,緩和,カンワ休題,カンワ-キュウダイ,それはさておき。ともかく。,,,,
20,3,孤軍奮闘,孤軍,古郡,コグン奮闘,コグン-フントウ,"	援軍が来ることを期待できない状態で必死に戦うこと。または、他人の手助けを受けることなく、難しい仕事をこなすために一人で必死に努力すること。",,,,
21,5,同工異曲,異曲,医局,同工イキョク,ドウコウ-イキョク,見た目は違っているが、手法や技術に大きな差がないこと。,,,,
22,3,天衣無縫,無縫,無法,天衣ムホウ,テンイ-ムホウ,詩や文章などにわざとらしさがなく、自然で美しいこと。また、無邪気で飾り気のない人柄のこと。,,,,
23,2,眉目秀麗,秀麗,秋冷,眉目シュウレイ,ビモク-シュウレイ,顔立ちが美しく整っている様子。主に男性に対して使う言葉。,,,,
24,準2,生生流転,流転,流天,生生ルテン,セイセイ-ルテン(ショウジョウ-ルテン),世の中の全ての物は、次々と生まれては時間の経過とともにいつまでも変化し続けていくという意味。,,,,
25,5,月下氷人,氷人,票陣,月下ヒョウジン,ゲッカ-ヒョウジン,男女の間に入り、結婚の手助けをする人。仲人。,,,,
26,準2,枝葉末節,枝葉,子葉,シヨウ末節,シヨウ－マッセツ,あまり重要ではない些細なこと。または、本質から外れたどうでもよいこと。,,,,
27,3,粗製濫造,粗製,組成,ソセイ濫造,ソセイ-ランゾウ,質の低い製品を、無計画にたくさん作ること。,,,,
28,準2,泰然自若,泰然,大全,タイゼン自若,タイゼン-ジジャク,心が落ち着いていて、冷静さを失うことがないこと。,,,,
29,準2,雲泥万里,雲泥,云泥,ウンデイ万里,ウンデイ-バンリ,非常に大きな差があること。,,,,
30,4,志操堅固,堅固,謙語,志操ケンゴ,シソウ-ケンゴ,自分の理念や信念、流儀などを堅く守っていて決して変えることがないこと。,,,,
